,coconut_id,contains_sugar,contains_ring_sugars,contains_linear_sugars,molecular_weight,npl_score,number_of_carbons,number_of_nitrogens,number_of_oxygens,fsp3,hBondAcceptorCount,hBondDonorCount,lipinskiRuleOf5Failures,numberSpiroAtoms,xlogp
210,CNP0188335,0,False,False,483.59591095414845,1.33701480576723,25,1,8,0.8,9,5,1,0,3.207999999999998
211,CNP0144636,0,False,False,333.4243401295039,0.178612458227862,22,1,2,0.22727272727272702,3,1,0,0,1.8250000000000002
212,CNP0356967,0,False,False,653.0293627276963,2.108311403398706,40,0,6,0.85,6,6,4,0,8.174000000000001
213,CNP0119140,0,False,False,615.6692770143726,1.948670245969319,32,1,11,0.65625,12,3,2,1,2.863
214,CNP0147399,0,False,False,366.7934876084744,1.8737047089066752,18,0,6,0.33333333333333304,6,3,0,0,1.6360000000000001
215,CNP0420079,0,False,False,812.0069926913561,2.050097752896583,46,5,8,0.6086956521739131,13,10,3,0,2.418999999999999
216,CNP0293052,0,False,False,217.35037899684914,1.153428154966005,15,1,0,0.7333333333333331,1,0,0,0,3.804999999999999
217,CNP0357185,0,False,False,348.3909896962073,1.937965724025149,19,0,6,0.5789473684210521,6,1,0,0,1.662
218,CNP0436880,0,False,False,1092.3303979868385,1.417081204185792,52,11,14,0.6923076923076921,25,15,4,0,-1.804999999999997
219,CNP0164073,0,False,False,820.1314332203417,1.90783904422844,47,1,8,0.7021276595744681,9,2,3,0,16.764000000000003
220,CNP0097304,0,False,False,577.7090106053225,1.528546258258044,34,1,7,0.44117647058823506,8,5,3,0,5.34
221,CNP0189711,0,False,False,557.5436562491187,,22,1,15,0.954545454545454,16,8,3,0,-4.536999999999998
222,CNP0316117,0,False,False,136.23441102909266,1.4458602235266471,10,0,0,0.6000000000000001,0,0,0,0,4.318
223,CNP0388028,0,False,False,407.507902607598,0.303718557800061,27,3,1,0.259259259259259,4,0,0,0,2.357
224,CNP0204736,0,False,False,290.4011861140773,1.186818693703936,17,2,2,0.647058823529411,4,1,0,0,1.287
225,CNP0335853,0,False,False,544.7636333583613,1.9393730276221812,33,0,6,0.818181818181818,6,2,3,0,7.5489999999999995
226,CNP0072293,0,False,False,856.0945604129748,2.163347892990352,48,1,12,0.75,13,6,4,0,4.789999999999999
227,CNP0436881,0,False,False,310.42908846723526,1.932028956906943,18,0,4,0.6666666666666661,4,2,1,0,4.187
